regime_id;regime_name;sez_or_disad_area;country;iso3c;perc_of_gen_CIT;sez_rate;holiday_time;sez_rate_source;note;year
ATG01;Free trade and processing zone;sez;Antigua and Barbuda;ATG;;0;;European Council: https://data.consilium.europa.eu/doc/document/ST-7416-2020-INIT/en/pdf;"""Free trade zones and special economic zones could be established in Antigua and Barbuda to carry out manufacturing or commercial activities. Such activities were fully exempted from CIT.""
";2019
ATG02;Special Economic Zone;sez;Antigua and Barbuda;ATG;;0;;European Council: https://data.consilium.europa.eu/doc/document/ST-7416-2020-INIT/en/pdf;"""Free trade zones and special economic zones could be established in Antigua and Barbuda to carry out manufacturing or commercial activities. Such activities were fully exempted from CIT.""
";2019
ATG01;Free trade and processing zone;sez;Antigua and Barbuda;ATG;1;;20;"European Council: https://data.consilium.europa.eu/doc/document/ST-7416-2020-INIT/en/pdf, http://laws.gov.ag/wp-content/uploads/2020/02/No.-29-of-2019-INVESTMENT-AUTHORITYAMENDMENT-
NO.-2-ACT-2019..pdf";various length of tax holiday are granted depending on investment amount and number of people employed. 20 years is the largest holiday. 150 people need to be employed. Amendment was introduced in response to Code of Conduct review;2020
ATG02;Special Economic Zone;sez;Antigua and Barbuda;ATG;1;;20;"European Council: https://data.consilium.europa.eu/doc/document/ST-7416-2020-INIT/en/pdf, http://laws.gov.ag/wp-content/uploads/2020/02/No.-29-of-2019-INVESTMENT-AUTHORITYAMENDMENT-
NO.-2-ACT-2019..pdf";various length of tax holiday are granted depending on investment amount and number of people employed. 20 years is the largest holiday. 150 people need to be employed. Amendment was introduced in response to Code of Conduct review;2020
ARG01;Zonas Francas;sez;Argentina;ARG;1;;;https://web.archive.org/web/20200926140609/http://www.afip.gob.ar/zonasFrancas/conceptos-basicos/tratamiento-fiscal.asp;"""Será aplicable la totalidad de las disposiciones de carácter impositivo, aduanero y financiero, incluidas las de carácter penal que rigen en el territorio aduanero general, salvo las excepciones establecidas en el artículo 590 del Código Aduanero""";2020
ABW01;Free zones;sez;Aruba;ABW;;2;;IBFD Country Tax Guide 2019;"""profits derived by a free zone enterprise are subject to the profits tax at a reduced rate of 2% on the profits derived from free zone activities.""";2019
NA;;;Barbados;BRB;;NA;;;;2020
BOL01;zonas francas;sez;Bolivia;BOL;;25;;IBFD Country Tax Guide;income tax is not mentioned among taxes that are exempt;2020
BRA01;Manaus FTZ/Amazonas;both;Brazil;BRA;0.75;;0;https://web.archive.org/web/20150730004231/http://www.suframa.gov.br/invest/en-porque-investir-tax.cfm;INCOME TAX (IR) - 75% reduction in Income Tax and Non-Reimbursable Extras, exclusively for reinvestments. Common to all the Legal Amazon.;2020
BRA02;Zonas de Processamento de Exportacao;sez;Brazil;BRA;1;;0;https://web.archive.org/web/20200924134245/http://www.mdic.gov.br/index.php/zpe/epz;income tax is not mentioned among taxes that are exempt;2020
