country;membership;iso3c
Albania;Yes;ALB
Andorra;Yes;AND
Angola;Yes;AGO
Anguilla;Yes;AIA
Antigua and Barbuda;Yes;ATG
Argentina;Yes;ARG
Armenia;Yes;ARM
Aruba;Yes;ABW
Australia;Yes;AUS
Austria;Yes;AUT
The Bahamas;Yes;BHS
Bahrain;Yes;BHR
Barbados;Yes;BRB
Belgium;Yes;BEL
Belize;Yes;BLZ
Benin;Yes;BEN
Bermuda;Yes;BMU
Bosnia and Herzegovina;Yes;BIH
Botswana;Yes;BWA
Brazil;Yes;BRA
British Virgin Islands;Yes;VGB
Brunei Darussalam;Yes;BRN
Bulgaria;Yes;BGR
Burkina Faso;Yes;BFA
Cabo Verde;Yes;CPV
Cameroon;Yes;CMR
Canada;Yes;CAN
Cayman Islands;Yes;CYM
Chile;Yes;CHL
China (People’s Republic of);Yes;CHN
Colombia;Yes;COL
Congo;Yes;COG
Cook Islands;Yes;COK
Costa Rica;Yes;CRI
Côte d’Ivoire;Yes;CIV
Croatia;Yes;HRV
Curaçao;Yes;CUW
Czech Republic;Yes;CZE
Democratic Republic of the Congo;Yes;COD
Denmark;Yes;DNK
Djibouti;Yes;DJI
Dominica;Yes;DMA
Dominican Republic;Yes;DOM
Egypt;Yes;EGY
Estonia;Yes;EST
Eswatini;Yes;SWZ
Faroe Islands;Yes;FRO
Finland;Yes;FIN
France;Yes;FRA
Gabon;Yes;GAB
Georgia;Yes;GEO
Germany;Yes;DEU
Gibraltar;Yes;GIB
Greece;Yes;GRC
Greenland;Yes;GRL
Grenada;Yes;GRD
Guernsey;Yes;GGY
Haiti;Yes;HTI
Honduras;Yes;HND
Hong Kong, China;Yes;HKG
Hungary;Yes;HUN
Iceland;Yes;ISL
India;Yes;IND
Indonesia;Yes;IDN
Ireland;Yes;IRL
Isle of Man;Yes;IMN
Israel;Yes;ISR
Italy;Yes;ITA
Jamaica;Yes;JAM
Japan;Yes;JPN
Jersey;Yes;JEY
Jordan;Yes;JOR
Kazakhstan;Yes;KAZ
Kenya;Yes;KEN
Korea;Yes;KOR
Latvia;Yes;LVA
Liberia;Yes;LBR
Liechtenstein;Yes;LIE
Lithuania;Yes;LTU
Luxembourg;Yes;LUX
Macau, China;Yes;MAC
Malaysia;Yes;MYS
Maldives;Yes;MDV
Malta;Yes;MLT
Mauritius;Yes;MUS
Mexico;Yes;MEX
Monaco;Yes;MCO
Mongolia;Yes;MNG
Montenegro;Yes;MNE
Montserrat;Yes;MSR
Morocco;Yes;MAR
Namibia;Yes;NAM
Netherlands;Yes;NLD
New Zealand;Yes;NZL
Nigeria;Yes;NGA
North Macedonia;Yes;MKD
Norway;Yes;NOR
Oman;Yes;OMN
Pakistan;Yes;PAK
Panama;Yes;PAN
Papua New Guinea;Yes;PNG
Paraguay;Yes;PRY
Peru;Yes;PER
Poland;Yes;POL
Portugal;Yes;PRT
Qatar;Yes;QAT
Romania;Yes;ROU
Russian Federation;Yes;RUS
Saint Kitts and Nevis;Yes;KNA
Saint Lucia;Yes;LCA
Saint Vincent and the Grenadines;Yes;VCT
San Marino;Yes;SMR
Saudi Arabia;Yes;SAU
Senegal;Yes;SEN
Serbia;Yes;SRB
Seychelles;Yes;SYC
Sierra Leone;Yes;SLE
Singapore;Yes;SGP
Slovak Republic;Yes;SVK
Slovenia;Yes;SVN
South Africa;Yes;ZAF
Spain;Yes;ESP
Sri Lanka;Yes;LKA
Sweden;Yes;SWE
Switzerland;Yes;CHE
Thailand;Yes;THA
Trinidad and Tobago;Yes;TTO
Tunisia;Yes;TUN
Turks and Caicos Islands;Yes;TCA
Turkey;Yes;TUR
Ukraine;Yes;UKR
United Arab Emirates;Yes;ARE
United Kingdom;Yes;GBR
United States;Yes;USA
Uruguay;Yes;URY
Viet Nam;Yes;VNM
Zambia;Yes;ZMB
