country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;iso3c
Afghanistan;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;AFG
Albania;10,00;10,00;10,00;10,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;ALB
Algeria;NA;NA;NA;25,00;19,00;26,00;26,00;26,00;26,00;26,00;26,00;DZA
Andorra;NA;NA;NA;NA;NA;NA;NA;10,00;10,00;10,00;10,00;AND
Angola;35,00;35,00;35,00;35,00;35,00;30,00;30,00;30,00;30,00;30,00;30,00;AGO
Anguilla;NA;NA;NA;NA;NA;NA;NA; 0,00; 0,00; 0,00; 0,00;AIA
Antigua and Barbuda;NA;NA;NA;NA;NA;NA;NA;25,00;25,00;25,00;25,00;ATG
Argentina;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;30,00;30,00;30,00;ARG
Armenia;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;18,00;ARM
Aruba;28,00;28,00;28,00;28,00;28,00;25,00;25,00;25,00;25,00;25,00;25,00;ABW
Australia;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;AUS
Austria;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;AUT
Azerbaijan;NA;NA;NA;NA;NA;NA;NA;20,00;20,00;20,00;20,00;AZE
Bahamas; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;BHS
Bahrain; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;BHR
Bangladesh;27,50;27,50;27,50;27,50;27,50;25,00;25,00;25,00;25,00;25,00;25,00;BGD
Barbados;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;30,00; 5,50; 5,50;BRB
Belarus;24,00;24,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;BLR
Belgium;33,99;33,99;33,99;33,99;33,99;33,99;33,99;33,99;29,00;29,00;29,00;BEL
Benin;NA;NA;NA;NA;NA;NA;NA;30,00;30,00;30,00;30,00;BEN
Bermuda; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;BMU
Bolivia;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;BOL
Bonaire, Saint Eustatius and Saba;NA;NA; 0,00; 0,00; 0,00; 0,00; 0,00;25,00;25,00;25,00;25,00;BES
Bosnia and Herzegovina;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;BIH
Botswana;25,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;BWA
Brazil;34,00;34,00;34,00;34,00;34,00;34,00;34,00;34,00;34,00;34,00;34,00;BRA
Brunei Darussalam;NA;NA;NA;NA;NA;NA;NA;18,50;18,50;18,50;18,50;BRN
Bulgaria;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;BGR
Burkina Faso;NA;NA;NA;NA;NA;NA;NA;27,50;28,00;28,00;28,00;BFA
Burundi;NA;NA;NA;NA;NA;NA;NA;30,00;30,00;30,00;30,00;BDI
Cambodia;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;KHM
Cameroon;NA;NA;NA;NA;NA;33,00;33,00;33,00;33,00;33,00;33,00;CMR
Canada;31,00;28,00;26,00;26,00;26,50;26,50;26,50;26,50;26,50;26,50;26,50;CAN
Cayman Islands; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;CYM
Chile;17,00;20,00;18,50;20,00;20,00;24,00;24,00;25,50;26,00;27,00;27,00;CHL
China;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;CHN
Colombia;33,00;33,00;33,00;25,00;25,00;25,00;25,00;34,00;33,00;33,00;32,00;COL
Congo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,00;COG
Congo (Democratic Republic of the);NA;NA;NA;NA;NA;NA;NA;35,00;35,00;35,00;35,00;COD
Costa Rica;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;CRI
Croatia;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;18,00;18,00;18,00;HRV
Curacao;NA;34,50;27,50;27,50;27,50;22,00;22,00;22,00;22,00;22,00;22,00;CUW
Cyprus;10,00;10,00;10,00;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;CYP
Czech Republic;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;CZE
Denmark;25,00;25,00;25,00;25,00;24,50;22,00;22,00;22,00;22,00;22,00;22,00;DNK
Djibouti;NA;NA;NA;NA;NA;NA;NA;25,00;25,00;25,00;25,00;DJI
Dominica;NA;NA;NA;NA;NA;NA;NA;25,00;25,00;25,00;25,00;DMA
Dominican Republic;25,00;29,00;29,00;29,00;28,00;27,00;27,00;27,00;27,00;27,00;27,00;DOM
Ecuador;25,00;24,00;23,00;22,00;22,00;22,00;22,00;22,00;25,00;25,00;25,00;ECU
Egypt;20,00;20,00;25,00;25,00;25,00;22,50;22,50;22,50;23,00;22,50;22,50;EGY
El Salvador;NA;NA;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;SLV
Estonia;21,00;21,00;21,00;21,00;21,00;20,00;20,00;20,00;20,00;20,00;20,00;EST
Ethiopia;NA;NA;NA;NA;NA;NA;NA;30,00;30,00;30,00;30,00;ETH
Fiji;28,00;28,00;28,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;FJI
Finland;26,00;26,00;24,50;24,50;20,00;20,00;20,00;20,00;20,00;20,00;20,00;FIN
France;33,33;33,33;33,33;33,33;33,33;33,33;33,30;33,33;33,00;31,00;28,00;FRA
Gabon;NA;NA;NA;NA;NA;NA;NA;30,00;30,00;30,00;30,00;GAB
Gambia;NA;NA;NA;NA;NA;NA;NA;31,00;31,00;31,00;31,00;GMB
Georgia;NA;NA;NA;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;GEO
Germany;29,41;29,37;29,48;29,55;29,58;29,72;29,72;29,79;30,00;30,00;30,00;DEU
Ghana;NA;NA;NA;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;GHA
Gibraltar;22,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;GIB
Greece;24,00;20,00;20,00;26,00;26,00;29,00;29,00;29,00;29,00;28,00;24,00;GRC
Grenada;NA;NA;NA;NA;NA;NA;NA;30,00;30,00;28,00;28,00;GRD
Guatemala;31,00;31,00;31,00;31,00;28,00;25,00;25,00;25,00;25,00;25,00;25,00;GTM
Guernsey; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;GGY
Honduras;25,00;35,00;35,00;35,00;30,00;30,00;30,00;25,00;25,00;25,00;25,00;HND
Hong Kong SAR;16,50;16,50;16,50;16,50;16,50;16,50;16,50;16,50;16,50;16,50;16,50;HKG
Hungary;19,00;19,00;19,00;19,00;19,00;19,00;19,00; 9,00; 9,00; 9,00; 9,00;HUN
Iceland;18,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;ISL
India;33,99;32,44;32,45;33,99;33,99;34,61;34,61;34,61;35,00;30,00;30,00;IND
Indonesia;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;IDN
Iraq;NA;NA;NA;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;IRQ
Ireland;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;IRL
Isle of Man; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;IMN
Israel;25,00;24,00;25,00;25,00;26,50;25,00;25,00;24,00;23,00;23,00;23,00;ISR
Italy;31,40;31,40;31,40;31,40;31,40;31,40;31,40;24,00;24,00;24,00;24,00;ITA
Ivory Coast;NA;NA;NA;NA;NA;NA;NA;25,00;25,00;25,00;25,00;CIV
Jamaica;33,33;33,33;33,33;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;JAM
Japan;40,69;40,69;38,01;38,01;35,64;33,86;30,86;30,86;30,86;30,62;30,62;JPN
Jersey; 0,00; 0,00; 0,00; 0,00; 0,00;20,00;20,00;20,00;20,00; 0,00; 0,00;JEY
Jordan;14,00;14,00;14,00;14,00;14,00;20,00;20,00;20,00;20,00;20,00;20,00;JOR
Kazakhstan;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;KAZ
Kenya;NA;NA;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;KEN
Korea, Republic of;24,20;22,00;24,20;24,20;24,20;24,20;24,20;22,00;25,00;25,00;25,00;KOR
Kuwait;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;KWT
Kyrgyzstan;NA;NA;NA;NA;NA;NA;NA;10,00;10,00;10,00;10,00;KGZ
Latvia;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;20,00;20,00;20,00;LVA
Lebanon;NA;NA;NA;15,00;15,00;15,00;15,00;15,00;15,00;17,00;17,00;LBN
Libya;40,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;LBY
Liechtenstein;NA;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;12,50;LIE
Lithuania;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;LTU
Luxembourg;28,59;28,80;28,80;29,22;29,22;29,22;29,22;27,08;26,01;24,94;24,94;LUX
Macau;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;MAC
Macedonia;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;MKD
Madagascar;NA;NA;NA;NA;NA;NA;NA;20,00;20,00;20,00;20,00;MDG
Malawi;NA;NA;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;MWI
Malaysia;25,00;25,00;25,00;25,00;25,00;24,00;24,00;24,00;24,00;24,00;24,00;MYS
Malta;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;MLT
Mauritius;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;MUS
Mexico;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;MEX
Moldova;NA;NA;NA;NA;NA;12,00;12,00;12,00;12,00;12,00;12,00;MDA
Monaco;NA;NA;NA;NA;NA;NA;NA;33,33;33,00;33,00;33,00;MCO
