Location;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;20;20;20;20;20;20;20;20;20;20;20
Albania;10;10;10;10;15;15;15;15;15;15;15
Algeria;;;;25;19;26;26;26;26;26;26
Andorra;;;;;;;;10;10;10;10
Angola;35;35;35;35;35;30;30;30;30;30;30
Anguilla;;;;;;;;0;0;0;0
Antigua and Barbuda;;;;;;;;25;25;25;25
Argentina;35;35;35;35;35;35;35;35;30;30;30
Armenia;20;20;20;20;20;20;20;20;20;20;18
Aruba;28;28;28;28;28;25;25;25;25;25;25
Australia;30;30;30;30;30;30;30;30;30;30;30
Austria;25;25;25;25;25;25;25;25;25;25;25
Azerbaijan;;;;;;;;20;20;20;20
Bahamas;0;0;0;0;0;0;0;0;0;0;0
Bahrain;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;27.5;27.5;27.5;27.5;27.5;25;25;25;25;25;25
Barbados;25;25;25;25;25;25;25;25;30;5.5;5.5
Belarus;24;24;18;18;18;18;18;18;18;18;18
Belgium;33.99;33.99;33.99;33.99;33.99;33.99;33.99;33.99;29;29;29
Benin;;;;;;;;30;30;30;30
Bermuda;0;0;0;0;0;0;0;0;0;0;0
Bolivia;25;25;25;25;25;25;25;25;25;25;25
Bonaire, Saint Eustatius and Saba;;;0;0;0;0;0;25;25;25;25
Bosnia and Herzegovina;10;10;10;10;10;10;10;10;10;10;10
Botswana;25;22;22;22;22;22;22;22;22;22;22
Brazil;34;34;34;34;34;34;34;34;34;34;34
Brunei Darussalam;;;;;;;;18.5;18.5;18.5;18.5
Bulgaria;10;10;10;10;10;10;10;10;10;10;10
Burkina Faso;;;;;;;;27.5;28;28;28
Burundi;;;;;;;;30;30;30;30
Cambodia;20;20;20;20;20;20;20;20;20;20;20
Cameroon;;;;;;33;33;33;33;33;33
Canada;31;28;26;26;26.5;26.5;26.5;26.5;26.5;26.5;26.5
Cayman Islands;0;0;0;0;0;0;0;0;0;0;0
Chile;17;20;18.5;20;20;24;24;25.5;26;27;27
China;25;25;25;25;25;25;25;25;25;25;25
Colombia;33;33;33;25;25;25;25;34;33;33;32
Congo;;;;;;;;;;;30
Congo (Democratic Republic of the);;;;;;;;35;35;35;35
Costa Rica;30;30;30;30;30;30;30;30;30;30;30
Croatia;20;20;20;20;20;20;20;20;18;18;18
Curacao;;34.5;27.5;27.5;27.5;22;22;22;22;22;22
Cyprus;10;10;10;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5
Czech Republic;19;19;19;19;19;19;19;19;19;19;19
Denmark;25;25;25;25;24.5;22;22;22;22;22;22
Djibouti;;;;;;;;25;25;25;25
Dominica;;;;;;;;25;25;25;25
Dominican Republic;25;29;29;29;28;27;27;27;27;27;27
Ecuador;25;24;23;22;22;22;22;22;25;25;25
Egypt;20;20;25;25;25;22.5;22.5;22.5;23;22.5;22.5
El Salvador;;;30;30;30;30;30;30;30;30;30
Estonia;21;21;21;21;21;20;20;20;20;20;20
Ethiopia;;;;;;;;30;30;30;30
Fiji;28;28;28;20;20;20;20;20;20;20;20
Finland;26;26;24.5;24.5;20;20;20;20;20;20;20
France;33.33;33.33;33.33;33.33;33.33;33.33;33.3;33.33;33;31;28
Gabon;;;;;;;;30;30;30;30
Gambia;;;;;;;;31;31;31;31
Georgia;;;;15;15;15;15;15;15;15;15
Germany;29.41;29.37;29.48;29.55;29.58;29.72;29.72;29.79;30;30;30
Ghana;;;;25;25;25;25;25;25;25;25
Gibraltar;22;10;10;10;10;10;10;10;10;10;10
Greece;24;20;20;26;26;29;29;29;29;28;24
Grenada;;;;;;;;30;30;28;28
Guatemala;31;31;31;31;28;25;25;25;25;25;25
Guernsey;0;0;0;0;0;0;0;0;0;0;0
Honduras;25;35;35;35;30;30;30;25;25;25;25
Hong Kong SAR;16.5;16.5;16.5;16.5;16.5;16.5;16.5;16.5;16.5;16.5;16.5
Hungary;19;19;19;19;19;19;19;9;9;9;9
Iceland;18;20;20;20;20;20;20;20;20;20;20
India;33.99;32.44;32.45;33.99;33.99;34.61;34.61;34.61;35;30;30
Indonesia;25;25;25;25;25;25;25;25;25;25;25
Iraq;;;;15;15;15;15;15;15;15;15
Ireland;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5
Isle of Man;0;0;0;0;0;0;0;0;0;0;0
Israel;25;24;25;25;26.5;25;25;24;23;23;23
Italy;31.4;31.4;31.4;31.4;31.4;31.4;31.4;24;24;24;24
Ivory Coast;;;;;;;;25;25;25;25
Jamaica;33.33;33.33;33.33;25;25;25;25;25;25;25;25
Japan;40.69;40.69;38.01;38.01;35.64;33.86;30.86;30.86;30.86;30.62;30.62
Jersey;0;0;0;0;0;20;20;20;20;0;0
Jordan;14;14;14;14;14;20;20;20;20;20;20
Kazakhstan;20;20;20;20;20;20;20;20;20;20;20
Kenya;;;30;30;30;30;30;30;30;30;30
Korea, Republic of;24.2;22;24.2;24.2;24.2;24.2;24.2;22;25;25;25
Kuwait;15;15;15;15;15;15;15;15;15;15;15
Kyrgyzstan;;;;;;;;10;10;10;10
Latvia;15;15;15;15;15;15;15;15;20;20;20
Lebanon;;;;15;15;15;15;15;15;17;17
Libya;40;20;20;20;20;20;20;20;20;20;20
Liechtenstein;;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5
Lithuania;15;15;15;15;15;15;15;15;15;15;15
Luxembourg;28.59;28.8;28.8;29.22;29.22;29.22;29.22;27.08;26.01;24.94;24.94
Macau;12;12;12;12;12;12;12;12;12;12;12
Macedonia;10;10;10;10;10;10;10;10;10;10;10
Madagascar;;;;;;;;20;20;20;20
Malawi;;;30;30;30;30;30;30;30;30;30
Malaysia;25;25;25;25;25;24;24;24;24;24;24
Malta;35;35;35;35;35;35;35;35;35;35;35
Mauritius;15;15;15;15;15;15;15;15;15;15;15
Mexico;30;30;30;30;30;30;30;30;30;30;30
Moldova;;;;;;12;12;12;12;12;12
Monaco;;;;;;;;33.33;33;33;33
Mongolia;;;;;;;;25;25;25;25
Montenegro;9;9;9;9;9;9;9;9;9;9;9
Morocco;;;;30;30;31;31;31;31;31;31
Mozambique;32;32;32;32;32;32;32;32;32;32;32
Myanmar;;;;;;;;25;25;25;25
Namibia;;34;34;33;33;33;32;32;32;32;32
Netherlands;25.5;25;25;25;25;25;25;25;25;25;25
New Zealand;30;28;28;28;28;28;28;28;28;28;28
Nicaragua;;;;;;;;30;30;30;30
Nigeria;30;30;30;30;30;30;30;30;30;30;30
Norway;28;28;28;28;27;27;25;24;23;22;22
Oman;12;12;12;12;12;12;12;15;15;15;15
Pakistan;35;35;35;35;34;33;32;31;30;30;35
Palestinian Territory;;;;;;;;15;15;15;15
Panama;27.5;25;25;25;25;25;25;25;25;25;25
Papua New Guinea;30;30;30;30;30;30;30;30;30;30;30
Paraguay;10;10;10;10;10;10;10;10;10;10;10
Peru;30;30;30;30;30;28;28;29.5;29.5;29.5;29.5
Philippines;30;30;30;30;30;30;30;30;30;30;30
Poland;19;19;19;19;19;19;19;19;19;19;19
Portugal;25;25;25;25;23;21;21;21;21;21;21
Qatar;10;10;10;10;10;10;;10;10;10;10
Romania;16;16;16;16;16;16;16;16;16;16;16
Russia;20;20;20;20;20;20;20;20;20;20;20
Rwanda;;;;;;;;30;30;30;30
Saint Kitts and Nevis;;;;;;;;33;33;33;33
Saint Lucia;;;;;;;;30;30;30;30
Saint Vincent and the Grenadines;;;;;;;;32.5;33;30;30
Samoa;27;27;27;27;27;27;27;27;27;27;27
Saudi Arabia;20;20;20;20;20;20;20;20;20;20;20
Senegal;;;;;;;;30;30;30;30
Serbia;10;10;10;15;15;15;15;15;15;15;15
Sierra Leone;;;;;30;30;30;30;30;30;30
Singapore;17;17;17;17;17;17;17;17;17;17;17
Sint Maarten (Dutch part);;34.5;34.5;34.5;34.5;34.5;34.5;34.5;35;35;35
Slovakia;19;19;19;23;22;22;22;21;21;21;21
Slovenia;20;20;18;17;17;17;17;19;19;19;19
Solomon Islands;;;;;;;;30;30;30;30
South Africa;34.55;34.55;34.55;28;28;28;28;28;28;28;28
Spain;30;30;30;30;30;28;25;25;25;25;25
Sri Lanka;35;28;28;28;28;28;15;28;28;28;28
St Maarten;;;;;;24.5;34.5;34.5;35;35;35
Sudan;15;35;35;35;35;35;35;35;35;35;35
Suriname;;;;36;34.5;34.5;34.5;36;36;36;36
Swaziland;;;;;;;;27.5;28;27.5;27.5
Sweden;26.3;26.3;26.3;22;22;22;22;22;22;21.4;21.4
Switzerland;18.75;18.31;18.06;18.01;17.92;17.92;17.92;17.77;18;18;14.84
Syria;28;28;28;22;22;22;22;28;28;28;28
Taiwan;17;17;17;17;17;17;17;17;20;20;20
Tanzania;30;30;30;30;30;30;30;30;30;30;30
Thailand;30;30;23;20;20;20;20;20;20;20;20
Trinidad and Tobago;;;25;25;25;25;25;25;25;25;30
Tunisia;30;30;30;30;25;25;25;25;25;25;25
Turkey;20;20;20;20;20;20;20;20;22;22;22
Turkmenistan;;;;;;;;20;20;20;20
Turks and Caicos Islands;;;;;;;;0;0;0;0
Uganda;30;30;30;30;30;30;30;30;30;30;30
Ukraine;25;25;21;19;18;18;18;18;18;18;18
United Arab Emirates;55;55;55;55;55;55;55;55;55;55;55
United Kingdom;28;26;24;23;21;20;20;19;19;19;19
United States;40;40;40;40;40;40;40;40;27;27;27
Uruguay;25;25;25;25;25;25;25;25;25;25;25
Uzbekistan;;;;;;;7.5;7.5;7.5;7.5;7.5
Vanuatu;0;0;0;0;0;0;0;34;0;0;0
Venezuela;34;34;34;34;34;34;34;34;34;34;34
Vietnam;25;25;25;25;22;22;22;20;20;20;20
Yemen;35;20;20;20;20;20;20;20;20;20;20
Zambia;35;35;35;35;35;35;35;35;35;35;35
Zimbabwe;25.75;25.75;25.75;25.75;25.75;25.75;25.75;25;25;25;24
Africa average;28.49;28.64;29.07;28.33;27.83;28.14;28.03;28.21;28.26;28.23;28.25
Americas average;28.28;29.31;28.67;28.35;27.77;27.61;27.71;28.29;28.11;27.36;27.33
Asia average;23.72;22.91;22.72;22.13;22;21.98;21.41;21.08;21.21;21.18;21.13
EU average;22.93;22.7;22.51;22.75;22.39;22.15;22.09;21.33;21.29;20.98;20.87
Europe average;21.46;20.83;20.44;20.6;20.42;20.05;19.97;19.53;19.48;19.26;19.12
Global average;24.65;24.52;24.38;24.17;23.88;23.77;23.62;24.06;24.05;23.81;23.79
Latin America average;27.52;28.88;28.3;27.96;27.31;27.16;27.29;27.98;28.2;27.39;27.36
North America average;35.5;34;33;33;33.25;33.25;33.25;33.25;26.75;26.75;26.75
Oceania average;29;28.6;28.6;27;27;27;27;28.43;28.43;28.43;28.43
OECD average;25.7;25.42;25.18;25.32;24.98;24.77;24.69;23.95;23.53;23.23;23.05
South America average;27.52;28.88;28.3;27.96;27.31;27.16;27.29;27.98;28.2;27.39;27.36
