"";"X";"Country";"Regime_name";"Status";"Comments";"regime_type";"iso3c";"region"
"1";214;"Aruba";"Free zone";"In the process of being eliminated/amended";"Potentially harmful features will be addressed.";"distribution and service";"ABW";"Latin America & Caribbean"
"2";216;"Costa Rica";"Free trade zone";"Not harmful (amended)";"Ring-fencing removed. Substance requirements (non- IP) in place. No grandfathering provided.";"distribution and service";"CRI";"Latin America & Caribbean"
"3";218;"Curaçao";"E-Zone";"Out of scope (amended)";"Benefits for income from geographically mobile activities removed. No grandfathering provided.";"distribution and service";"CUW";"Latin America & Caribbean"
"4";220;"Dominican Republic";"Free trade zones";"Under review";"Regime under review by FHTP.";"distribution and service";"DOM";"Latin America & Caribbean"
"5";226;"Jamaica";"Special economic zones";"Under review";"Regime under review by FHTP.";"distribution and service";"JAM";"Latin America & Caribbean"
"6";42;"Panama";"City of knowledge technical zone";"Not harmful (amended)";"Substance requirements (nexus approach) in place. No grandfathering provided.";"IP regime";"PAN";"Latin America & Caribbean"
"7";246;"Panama";"Colon free zone";"Out of scope";"No benefits for income from geographically mobile activities.";"distribution and service";"PAN";"Latin America & Caribbean"
"8";247;"Panama";"Panama-Pacifico special economic zone";"Not harmful (amended)";"Ring-fencing removed. Substance requirements (non- IP) in place. Grandfathering in accordance with FHTP timelines.";"distribution and service";"PAN";"Latin America & Caribbean"
"9";248;"Paraguay";"Free zone";"Out of scope";"No benefits for income from geographically mobile activities.";"distribution and service";"PRY";"Latin America & Caribbean"
"10";249;"Peru";"Special economic zone 1 (Ceticos / ZED)";"Out of scope";"No benefits for income from geographically mobile activities..";"distribution and service";"PER";"Latin America & Caribbean"
"11";250;"Peru";"Special economic zone 2 (Zofratacna)";"Not harmful";"No harmful features.";"distribution and service";"PER";"Latin America & Caribbean"
"12";257;"Trinidad and Tobago";"Free trade zones";"In the process of being eliminated";"Regime is being abolished.";"distribution and service";"TTO";"Latin America & Caribbean"
"13";99;"Uruguay";"Free zones";"Not harmful (amended)";"Substance requirements (nexus approach) in place. No grandfathering provided.";"IP regime";"URY";"Latin America & Caribbean"
"14";258;"Uruguay";"Free zones";"Not harmful (amended)";"Ring-fencing removed. Substance requirements (non- IP) in place. Grandfathering in accordance with FHTP timelines.";"distribution and service";"URY";"Latin America & Caribbean"
