Web table 21. The Universe of Special Economic Zones (SEZs), 2018;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Economya;;Terms used for SEZs (number counted) ;Number of SEZs (established by law);Of which, under development;Size;;;;;;;Functionality ;;;;"Number of single-enterprise zones (""free points"") ";Number of SEZs in planningb;;Year of the first promulgation of lawc;;National SEZ law or other legal frameworkd ;;Sources;;
;;;;;"0–20 ha	";20.1–100 ha;100.1–500 ha;500.1–1 000 ha;More than 1 000 ha;Not available;;Logistics hub ;Multi-activity or unspecified ;Specialized;Innovation-driven;;;;;;;;;;
Global;;;5 383;474;713;556;1 518;837;658;1 101;;452;3 346;1 294;291;8 368;507;;;;;;;;
Developed economies;;;374;5;8;9;10;7;18;322;;339;32;3;0;..;..;;;;;;;;
Andorra;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Australia;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Austria;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Belgium;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Bulgaria;;Industrial zone (5), FZ (4) ;9;5;3;3;1;0;0;2;;1;8;0;0;..;0;;..;;..;;"National Company Industrial Zone; National Customs Agency";;
Canada;;;0;..;..;..;..;..;..;..;;..;..;..;..;..;0;;..;;..;;Department of Finance;;
Croatia;;FZ ;11;0;1;3;3;1;3;0;;11;0;0;0;..;0;;..;;..;;Ministry of Economy, Entrepreneurship and Crafts;;
Cyprus;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;..;;;;Cyprus Customs and Excise Department;;
Czechia;;FZ (4), SEZ (3);7;0;0;0;0;0;0;7;;4;3;0;0;..;0;;..;;..;;"Customs Administration; CzechInvest 

";;
Denmark;;FZ ;1;0;0;0;0;1;0;0;;1;0;0;0;..;..;;..;;..;;Danish Customs Agency;;
Estonia;;FZ (2), SEZ(1);3;0;1;0;0;0;0;2;;3;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Finland;;FZ (2);2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
France;;FZ ;2;0;0;1;0;0;0;1;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Germany;;FZ ;2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Greece;;FZ;4;0;0;0;0;0;0;4;;4;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Hungary;;FZ ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Iceland;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Ireland;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;0;;..;;;;European Commission, Taxation and Customs Union;;
Israel;;FTZ;1;0;0;0;0;0;1;0;;1;0;0;0;..;0;;..;;Free Trade Zone Act in Eilat, 1985;;Invest in Israel;;
Italy;;FZ ;2;0;0;0;0;0;0;2;;2;0;0;0;..;..;;..;;Decree-Law on Urgent provisions for economic growth in the South, No. 91, 2017 e;;European Commission, Taxation and Customs Union;;
Japan;;International logistics hub industry development zone (2), ISP, data infrastructure special region (3), economic stimulation special region (1);6;0;0;0;1;0;5;0;;2;1;3;0;..;..;;2002;;Act on Special Measures for the Promotion and Development of Okinawa, Act No. 14, 2002;;Okinawa Industry Promotion Public Corporation;;
Latvia;;FZ;4;0;0;0;0;0;0;4;;4;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Liechtenstein ;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Lithuania;;FZ (10), free EZ (6);16;0;0;2;4;0;0;10;;10;6;0;0;..;..;;..;;..;;"European Commission, Taxation and Customs Union; Invest Lithuania
";;
Luxembourg;;FZ;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union ;;
;;;;;;;;;;;;;;;;;;;;;;;Le Freeport;;
Malta;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Monaco;;Freeport;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;..;;..;;Monaco Freeport;;
Netherlands;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
New Zealand;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Norway;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Poland;;FZ (7), SEZ (14);21;0;0;0;0;5;9;7;;7;14;0;0;..;..;;1994;;Act on Special Economic Zones, 1994;;European Commission, Taxation and Customs Union;;
Portugal;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Romania;;FZ;6;0;0;0;0;0;0;6;;6;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
San Marino;;..;..;..;..;..;..;..;..;..;;..;..;..;..;..;..;;..;;..;;;;
Slovakia;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Slovenia;;FZ;1;0;0;0;1;0;0;0;;1;0;0;0;..;..;;..;;..;;Ministry of Finance;;
Spain;;FZ ;7;0;0;0;0;0;0;7;;7;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
Sweden;;;0;0;0;0;0;0;0;0;;0;0;0;0;..;..;;..;;;;European Commission, Taxation and Customs Union;;
Switzerland;;Freeport;1;0;1;0;0;0;0;0;;1;0;0;0;..;..;;1854;;..;;"Geneva Free Ports & Warehouses
";;
;;;;;;;;;;;;;;;;;;;;;;;Swiss Federal Audit Office;;
United Kingdom;;FZ;1;0;0;0;0;0;0;1;;1;0;0;0;..;..;;..;;..;;European Commission, Taxation and Customs Union;;
United States of America;;Foreign-trade zone;262;..;0;0;0;0;0;262;;262;0;0;0;..;..;;1934;;Foreign-Trade Zones Act of June 18, 1934;;United States Foreign-Trade Zones Board;;
;;;;;;;;;;;;;;;;;;;;;Designation of enterprise zones, L. 102–550, 1992;;;;
;;;;;;;;;;;;;;;;;;;;;Regulations of the Foreign-Trade Zones Board, 15 CFR Part 400, 2012;;;;
Developing economies;;;4 772;451;691;512;1 477;819;621;652;;107;3 233;1 152;280;8 367;502;;;;;;;;
Africa;;;237;51;7;18;32;10;15;155;;2;211;24;0;216;53;;;;;;;;
Algeria;;FZ ;1;0;0;0;0;0;0;1;;0;1;0;0;..;..;;1993;;..;;National Agency of Investment Development;;
;;;;;;;;;;;;;;;;;;;;;;;United States Department of State (2018);;
Angola;;SEZ;1;0;0;0;0;0;1;0;;0;1;0;0;0;..;;2009;;Legal Regime of Special Economic Zones, Decree No.6-15, 2015;;Luanda-Bengo E.P. Special Economic Zone Development Company;;
;;;;;;;;;;;;;;;;;;;;;Presidential Decree no. 50/09 on Creation of the Luanda-Bengo SEZ;;;;
Benin;;SEZ;0;0;0;0;0;0;0;0;;0;0;0;0;0;..;;2005;;Loi no. 2017-07 du 19 juin 2017 fixant le régime des Zones économiques spéciales en République du Bénin  ;;Office of the President;;
Botswana;;"SEZ (8), enterprise zone, EPZ, FTZ (""commercial SEZ""), single factory zone, specialised zone";8;8;0;0;0;0;0;8;;0;8;0;0;0;..;;..;;Special Economic Zones Act, 2015;;SEZ Authority Botswana;; 
Burkina Faso;;SEZ ;2;2;0;0;0;0;0;2;;0;2;0;0;0;..;;..;;Loi No.038-2018/AN portant Code des Investissements;;"Agence Burkinabé des Investissements (ABI); Direction générale de la promotion de l'entreprise ";;
Burundi;;FZ;0;0;0;0;0;0;0;0;;0;0;0;0;..;1;;1992;;La Loi No. 1/015 du 31 juillet 2001 portant Révision du décret-Loi No. 1/3 du 31 aout 1992 portant création d'un régime de zone franche au Burundi;;Government of Burundi;;
Cabo Verde;;International business centre;1;0;0;0;0;0;0;1;;0;1;0;0;..;..;;1989;;Decree Law No. 57/2017;;"Cabo Verde TradeInvest; UNCTAD (2018); United States Department of State (2018)
";;
